datetime,asset,tf,close,high,low,open,exch,atr_,atr,sma200,fut10,RSI_K,RSI_D,entry_price,exit_price,pnl,size,stop,target,stop_time
2019-09-02 16:50:00,EURUSD,5,1.096395,1.096665,1.096375,1.096615,1,0.00028999999999990145,0.00024160000000000403,1.098204,1.000145932807063,46.0,41.0,0.0,0.0,0.0,0,0.0,0.0,
2019-09-02 16:55:00,EURUSD,5,1.09675,1.096785,1.096395,1.096395,1,0.00038999999999989043,0.00024065000000000336,1.0981949749999997,0.9998039662639618,54.0,44.0,0.0,0.0,0.0,0,0.0,0.0,
2019-09-02 17:00:00,EURUSD,5,1.096605,1.096755,1.096515,1.09675,1,0.00024000000000001798,0.00024092500000000405,1.098184925,0.9997446664934045,51.0,48.0,0.0,0.0,0.0,0,0.0,0.0,
2019-09-02 17:05:00,EURUSD,5,1.096405,1.096665,1.096405,1.096605,1,0.00025999999999992696,0.00024000000000000356,1.098172625,0.9998631892412019,46.0,50.0,0.0,0.0,0.0,0,0.0,0.0,
2019-09-02 17:10:00,EURUSD,5,1.096395,1.096415,1.096215,1.096405,1,0.00019999999999997797,0.0002398250000000035,1.098159725,1.0,46.0,49.0,1.096405,0.0,0.0,-208333,1.096885,1.095205,2019-09-02 19:05:00
2019-09-02 17:15:00,EURUSD,5,1.09639,1.096395,1.096235,1.096395,1,0.00015999999999993797,0.00023702500000000404,1.098148375,0.9999863187369459,46.0,49.0,0.0,0.0,0.0,0,0.0,0.0,
2019-09-02 17:20:00,EURUSD,5,1.096325,1.09647,1.096305,1.09639,1,0.00016499999999997073,0.00023742500000000443,1.0981369,0.999899664789182,45.0,47.0,0.0,0.0,0.0,0,0.0,0.0,
2019-09-02 17:25:00,EURUSD,5,1.096395,1.096425,1.096305,1.096325,1,0.00011999999999989797,0.00023730000000000474,1.0981262,0.9997126947860944,47.0,46.0,0.0,0.0,0.0,0,0.0,0.0,
2019-09-02 17:30:00,EURUSD,5,1.096425,1.09652,1.09634,1.096395,1,0.00017999999999984695,0.00023752500000000397,1.0981154000000002,0.9997355040244431,48.0,46.0,0.0,0.0,0.0,0,0.0,0.0,
2019-09-02 17:35:00,EURUSD,5,1.096435,1.096475,1.096375,1.096425,1,9.999999999998899e-05,0.00023662500000000365,1.0981038750000003,1.0001641684185563,48.0,47.0,0.0,0.0,0.0,0,0.0,0.0,
2019-09-02 17:40:00,EURUSD,5,1.09634,1.096435,1.096255,1.096435,1,0.000180000000000069,0.00023330000000000407,1.0980877750000002,1.0000501669190214,45.0,47.0,0.0,0.0,0.0,0,0.0,0.0,
2019-09-02 17:45:00,EURUSD,5,1.09657,1.0966,1.09634,1.09634,1,0.00025999999999992696,0.00023322500000000357,1.0980734500000002,1.0001641482075927,52.0,48.0,0.0,0.0,0.0,0,0.0,0.0,
2019-09-02 17:50:00,EURUSD,5,1.096385,1.096595,1.096165,1.09657,1,0.00042999999999993044,0.00023430000000000396,1.0980592000000002,1.0002006594398867,47.0,48.0,0.0,0.0,0.0,0,0.0,0.0,
2019-09-02 17:55:00,EURUSD,5,1.096955,1.09706,1.096385,1.096385,1,0.0006749999999999812,0.00023680000000000367,1.0980479500000002,0.9994986120670403,60.0,50.0,0.0,0.0,0.0,0,0.0,0.0,
2019-09-02 18:00:00,EURUSD,5,1.09665,1.096955,1.096535,1.096955,1,0.0004199999999998649,0.00023832500000000255,1.0980351500000003,0.9997674736698127,53.0,51.0,0.0,1.09706,-136.45811499996879,0,0.0,0.0,
2019-09-02 18:05:00,EURUSD,5,1.096615,1.09687,1.096535,1.09665,1,0.0003349999999999742,0.00023945000000000216,1.0980220750000003,0.9997948231603617,52.0,53.0,0.0,0.0,0.0,0,0.0,0.0,
